"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","The same product cannot be added a second time while it is in the cart","SauceDemoSuite","Tue Sep 22 16:28:00 UTC 2026","passed","Tue Sep 22 16:28:00 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddButtonTogglesInsteadOfDuplicating"
"","747","All Items keeps the shopper on the catalog","SauceDemoSuite","Tue Sep 22 16:27:53 UTC 2026","passed","Tue Sep 22 16:27:54 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testAllItemsStaysOnInventory"
"","785","Every catalog product can be added and then removed","SauceDemoSuite","Tue Sep 22 16:28:27 UTC 2026","passed","Tue Sep 22 16:28:28 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testAddingAndRemovingProducts"
"","264","A locked account shows the locked-out error","SauceDemoSuite","Tue Sep 22 16:27:48 UTC 2026","passed","Tue Sep 22 16:27:48 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLockedOutUser"
"","154","Back to products returns to the catalog","SauceDemoSuite","Tue Sep 22 16:28:01 UTC 2026","passed","Tue Sep 22 16:28:01 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testBackToProducts"
"","473","A standard user can sign in","SauceDemoSuite","Tue Sep 22 16:28:24 UTC 2026","passed","Tue Sep 22 16:28:25 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testLogin"
"","148","Each catalog card shows a name and a dollar price","SauceDemoSuite","Tue Sep 22 16:27:54 UTC 2026","passed","Tue Sep 22 16:27:54 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testEachProductShowsNameAndPrice"
"","787","Overview subtotal matches the prices of the cart items","SauceDemoSuite","Tue Sep 22 16:28:21 UTC 2026","passed","Tue Sep 22 16:28:22 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testSubtotalMatchesItemPrices"
"","683","Overview lists the cart item plus payment and shipping values","SauceDemoSuite","Tue Sep 22 16:28:20 UTC 2026","passed","Tue Sep 22 16:28:21 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testOverviewShowsItemAndDeliveryDetails"
"","73","Login form shows username, password, and the login button","SauceDemoSuite","Tue Sep 22 16:27:48 UTC 2026","passed","Tue Sep 22 16:27:48 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginFormIsDisplayed"
"","526","Valid customer information opens the overview","SauceDemoSuite","Tue Sep 22 16:28:23 UTC 2026","passed","Tue Sep 22 16:28:23 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testValidInformationOpensOverview"
"","267","Adding two products sets the badge and cart lines to 2","SauceDemoSuite","Tue Sep 22 16:28:00 UTC 2026","passed","Tue Sep 22 16:28:00 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddMultipleProducts"
"","1692","The catalog menu, sort order, social links, and footer are available","SauceDemoSuite","Tue Sep 22 16:28:25 UTC 2026","passed","Tue Sep 22 16:28:26 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","checkHomepageContent"
"","552","An empty cart overview totals to zero before tax","SauceDemoSuite","Tue Sep 22 16:28:17 UTC 2026","passed","Tue Sep 22 16:28:18 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testEmptyCartOverviewSubtotalIsZero"
"","51","Social links point at Twitter, Facebook, and LinkedIn","SauceDemoSuite","Tue Sep 22 16:27:56 UTC 2026","passed","Tue Sep 22 16:27:56 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSocialLinks"
"","308","A wrong username with the valid password is rejected","SauceDemoSuite","Tue Sep 22 16:27:51 UTC 2026","passed","Tue Sep 22 16:27:51 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongUsernameOnly"
"","763","The menu lists All Items, About, Logout, and Reset App State","SauceDemoSuite","Tue Sep 22 16:27:54 UTC 2026","passed","Tue Sep 22 16:27:55 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testMenuItemsArePresentAndEnabled"
"","121","Opening a product shows its name, description, and price","SauceDemoSuite","Tue Sep 22 16:28:04 UTC 2026","passed","Tue Sep 22 16:28:05 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testProductDetailsMatchCatalog"
"","297","Price low to high sorts the catalog by ascending price","SauceDemoSuite","Tue Sep 22 16:27:57 UTC 2026","passed","Tue Sep 22 16:27:57 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByPriceLowToHigh"
"","1114","Finish shows the thank-you header","SauceDemoSuite","Tue Sep 22 16:28:19 UTC 2026","passed","Tue Sep 22 16:28:20 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testFinishShowsThankYouHeader"
"","222","Removing the only cart line leaves the cart empty","SauceDemoSuite","Tue Sep 22 16:28:05 UTC 2026","passed","Tue Sep 22 16:28:05 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveItemFromCart"
"","1457","The cart is still populated after logout and a new login","SauceDemoSuite","Tue Sep 22 16:28:01 UTC 2026","passed","Tue Sep 22 16:28:03 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterLogoutAndLogin"
"","192","A blank username asks for the username","SauceDemoSuite","Tue Sep 22 16:27:48 UTC 2026","passed","Tue Sep 22 16:27:49 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankUsername"
"","219","The cart lists the added product with quantity 1 and its price","SauceDemoSuite","Tue Sep 22 16:28:04 UTC 2026","passed","Tue Sep 22 16:28:04 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartShowsAddedProduct"
"","1092","Logout returns the user to the login form","SauceDemoSuite","Tue Sep 22 16:27:49 UTC 2026","passed","Tue Sep 22 16:27:50 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLogoutReturnsToLoginForm"
"","355","Continuing with every field blank asks for the first name","SauceDemoSuite","Tue Sep 22 16:28:13 UTC 2026","passed","Tue Sep 22 16:28:14 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresFirstName"
