"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","407","The complete page shows the dispatch message","SauceDemoSuite","Wed Sep 23 16:07:27 UTC 2026","passed","Wed Sep 23 16:07:27 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCompletePageShowsDispatchMessage"
"","28","The footer shows the Sauce Labs copyright line","SauceDemoSuite","Wed Sep 23 16:07:06 UTC 2026","passed","Wed Sep 23 16:07:06 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testFooterIsDisplayed"
"","854","A missing postal code is reported after the name fields are filled","SauceDemoSuite","Wed Sep 23 16:07:26 UTC 2026","passed","Wed Sep 23 16:07:27 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresPostalCode"
"","743","Continue Shopping from the cart returns to the catalog","SauceDemoSuite","Wed Sep 23 16:07:15 UTC 2026","failed","Wed Sep 23 16:07:16 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testContinueShopping"
"","177","A wrong username with the valid password is rejected","SauceDemoSuite","Wed Sep 23 16:07:03 UTC 2026","passed","Wed Sep 23 16:07:04 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongUsernameOnly"
"","942","Finish shows the thank-you header","SauceDemoSuite","Wed Sep 23 16:07:29 UTC 2026","passed","Wed Sep 23 16:07:30 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testFinishShowsThankYouHeader"
"","74","The same product cannot be added a second time while it is in the cart","SauceDemoSuite","Wed Sep 23 16:07:11 UTC 2026","passed","Wed Sep 23 16:07:11 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddButtonTogglesInsteadOfDuplicating"
"","331","A valid username with the wrong password is rejected","SauceDemoSuite","Wed Sep 23 16:07:03 UTC 2026","passed","Wed Sep 23 16:07:03 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongPasswordOnly"
"","217","Price low to high sorts the catalog by ascending price","SauceDemoSuite","Wed Sep 23 16:07:09 UTC 2026","passed","Wed Sep 23 16:07:09 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByPriceLowToHigh"
"","641","Every catalog product can be added and then removed","SauceDemoSuite","Wed Sep 23 16:07:38 UTC 2026","passed","Wed Sep 23 16:07:38 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testAddingAndRemovingProducts"
"","988","Back Home from the complete page returns to the catalog","SauceDemoSuite","Wed Sep 23 16:07:20 UTC 2026","passed","Wed Sep 23 16:07:21 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testBackHomeReturnsToProducts"
"","1161","Checkout rejects an empty form, then completes a valid order","SauceDemoSuite","Wed Sep 23 16:07:37 UTC 2026","passed","Wed Sep 23 16:07:38 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testCheckout"
"","135","A blank password asks for the password","SauceDemoSuite","Wed Sep 23 16:07:01 UTC 2026","passed","Wed Sep 23 16:07:01 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankPassword"
"","286","Name A to Z sorts the catalog ascending","SauceDemoSuite","Wed Sep 23 16:07:07 UTC 2026","passed","Wed Sep 23 16:07:08 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByNameAscending"
"","216","Price high to low sorts the catalog by descending price","SauceDemoSuite","Wed Sep 23 16:07:08 UTC 2026","passed","Wed Sep 23 16:07:08 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByPriceHighToLow"
"","103","Each catalog card shows a name and a dollar price","SauceDemoSuite","Wed Sep 23 16:07:06 UTC 2026","passed","Wed Sep 23 16:07:06 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testEachProductShowsNameAndPrice"
"","4","The catalog lists every standard product","SauceDemoSuite","Wed Sep 23 16:07:07 UTC 2026","passed","Wed Sep 23 16:07:07 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testProductCount"
"","696","All Items keeps the shopper on the catalog","SauceDemoSuite","Wed Sep 23 16:07:05 UTC 2026","passed","Wed Sep 23 16:07:05 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testAllItemsStaysOnInventory"
"","268","Whitespace around the username is not trimmed into a valid login","SauceDemoSuite","Wed Sep 23 16:07:03 UTC 2026","passed","Wed Sep 23 16:07:03 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testUsernameWithSurroundingSpaces"
"","971","Logout returns the user to the login form","SauceDemoSuite","Wed Sep 23 16:07:01 UTC 2026","passed","Wed Sep 23 16:07:02 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLogoutReturnsToLoginForm"
"","712","Adding two products sets the badge and cart lines to 2","SauceDemoSuite","Wed Sep 23 16:07:11 UTC 2026","passed","Wed Sep 23 16:07:12 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddMultipleProducts"
"","692","Every catalog product can be added and then removed from the cart","SauceDemoSuite","Wed Sep 23 16:07:10 UTC 2026","passed","Wed Sep 23 16:07:10 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddAllThenRemoveAll"
"","140","An empty cart can still open checkout","SauceDemoSuite","Wed Sep 23 16:07:23 UTC 2026","passed","Wed Sep 23 16:07:24 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutFromEmptyCartOpensInformationForm"
"","182","Unknown username and password show the mismatch error","SauceDemoSuite","Wed Sep 23 16:07:00 UTC 2026","passed","Wed Sep 23 16:07:00 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testInvalidLogin"
"","76","Add to cart switches the button to Remove and shows a badge of 1","SauceDemoSuite","Wed Sep 23 16:07:12 UTC 2026","passed","Wed Sep 23 16:07:12 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddSingleItemUpdatesBadgeAndButton"
"","109","Removing a product from the catalog clears the badge","SauceDemoSuite","Wed Sep 23 16:07:16 UTC 2026","passed","Wed Sep 23 16:07:16 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveFromCatalogClearsBadge"
"","159","Valid credentials land on the inventory page","SauceDemoSuite","Wed Sep 23 16:07:03 UTC 2026","passed","Wed Sep 23 16:07:03 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testValidLogin"
"","298","Closing a checkout error hides it and stays on the information step","SauceDemoSuite","Wed Sep 23 16:07:27 UTC 2026","passed","Wed Sep 23 16:07:28 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testDismissCheckoutError"
"","92","Opening a product shows its name, description, and price","SauceDemoSuite","Wed Sep 23 16:07:16 UTC 2026","passed","Wed Sep 23 16:07:16 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testProductDetailsMatchCatalog"
"","98","Blank username and password report the username first","SauceDemoSuite","Wed Sep 23 16:07:01 UTC 2026","passed","Wed Sep 23 16:07:01 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankUsernameAndPassword"
"","915","Overview total equals subtotal plus tax","SauceDemoSuite","Wed Sep 23 16:07:32 UTC 2026","passed","Wed Sep 23 16:07:33 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testTotalEqualsSubtotalPlusTax"
"","321","Values already entered stay on the form when a later field is missing","SauceDemoSuite","Wed Sep 23 16:07:28 UTC 2026","passed","Wed Sep 23 16:07:29 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testEnteredValuesStayWhenValidationFails"
"","214","The cart still holds an item after returning to the catalog","SauceDemoSuite","Wed Sep 23 16:07:14 UTC 2026","passed","Wed Sep 23 16:07:14 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsWhenReturningToProducts"
"","782","Reset App State clears the cart","SauceDemoSuite","Wed Sep 23 16:07:17 UTC 2026","passed","Wed Sep 23 16:07:18 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testResetAppStateClearsCart"
"","904","Valid customer information opens the overview","SauceDemoSuite","Wed Sep 23 16:07:33 UTC 2026","passed","Wed Sep 23 16:07:34 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testValidInformationOpensOverview"
"","135","A blank username asks for the username","SauceDemoSuite","Wed Sep 23 16:07:01 UTC 2026","passed","Wed Sep 23 16:07:01 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankUsername"
"","275","A product can be reviewed and added to the cart","SauceDemoSuite","Wed Sep 23 16:07:36 UTC 2026","passed","Wed Sep 23 16:07:37 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testAddToCart"
"","719","Checkout from the cart opens the customer information form","SauceDemoSuite","Wed Sep 23 16:07:24 UTC 2026","passed","Wed Sep 23 16:07:24 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutOpensInformationForm"
"","120","Inventory cannot be opened without a session","SauceDemoSuite","Wed Sep 23 16:07:00 UTC 2026","passed","Wed Sep 23 16:07:00 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testInventoryRedirectsWhenLoggedOut"
"","18","Password characters are masked","SauceDemoSuite","Wed Sep 23 16:07:02 UTC 2026","passed","Wed Sep 23 16:07:02 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testPasswordFieldIsMasked"
"","1617","Closing the error hides the message and stays on login","SauceDemoSuite","Wed Sep 23 16:06:58 UTC 2026","passed","Wed Sep 23 16:07:00 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testDismissLoginError"
"","1028","A completed order leaves the cart empty","SauceDemoSuite","Wed Sep 23 16:07:22 UTC 2026","passed","Wed Sep 23 16:07:23 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCartIsEmptyAfterCompletedOrder"
"","47","Login form shows username, password, and the login button","SauceDemoSuite","Wed Sep 23 16:07:01 UTC 2026","passed","Wed Sep 23 16:07:01 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginFormIsDisplayed"
"","215","Name Z to A sorts the catalog descending","SauceDemoSuite","Wed Sep 23 16:07:08 UTC 2026","passed","Wed Sep 23 16:07:08 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByNameDescending"
"","148","Removing the only cart line leaves the cart empty","SauceDemoSuite","Wed Sep 23 16:07:16 UTC 2026","passed","Wed Sep 23 16:07:16 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveItemFromCart"
"","791","Continuing with every field blank asks for the first name","SauceDemoSuite","Wed Sep 23 16:07:25 UTC 2026","passed","Wed Sep 23 16:07:25 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresFirstName"
"","381","An empty cart overview totals to zero before tax","SauceDemoSuite","Wed Sep 23 16:07:28 UTC 2026","passed","Wed Sep 23 16:07:28 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testEmptyCartOverviewSubtotalIsZero"
"","513","Cancel on the overview returns to the catalog and keeps the cart","SauceDemoSuite","Wed Sep 23 16:07:22 UTC 2026","failed","Wed Sep 23 16:07:22 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCancelFromOverviewKeepsCart"
"","293","A missing last name is reported after the first name is filled","SauceDemoSuite","Wed Sep 23 16:07:25 UTC 2026","passed","Wed Sep 23 16:07:26 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresLastName"
"","743","Cancel on the information step returns to the cart and keeps the item","SauceDemoSuite","Wed Sep 23 16:07:21 UTC 2026","passed","Wed Sep 23 16:07:22 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCancelFromInformationReturnsToCart"
"","188","A standard user can sign in","SauceDemoSuite","Wed Sep 23 16:07:34 UTC 2026","passed","Wed Sep 23 16:07:35 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testLogin"
"","112","Back to products returns to the catalog","SauceDemoSuite","Wed Sep 23 16:07:12 UTC 2026","passed","Wed Sep 23 16:07:12 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testBackToProducts"
"","249","Refreshing the inventory page keeps the logged-in session","SauceDemoSuite","Wed Sep 23 16:07:02 UTC 2026","passed","Wed Sep 23 16:07:03 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testSessionSurvivesRefresh"
"","1570","The catalog menu, sort order, social links, and footer are available","SauceDemoSuite","Wed Sep 23 16:07:35 UTC 2026","passed","Wed Sep 23 16:07:36 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","checkHomepageContent"
"","978","A postal code made of letters is accepted","SauceDemoSuite","Wed Sep 23 16:07:19 UTC 2026","passed","Wed Sep 23 16:07:20 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testAlphabeticPostalCodeIsAccepted"
"","10","Inventory heading is Products","SauceDemoSuite","Wed Sep 23 16:07:07 UTC 2026","passed","Wed Sep 23 16:07:07 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testProductsHeading"
"","232","Changing the catalog sort does not drop items already in the cart","SauceDemoSuite","Wed Sep 23 16:07:14 UTC 2026","passed","Wed Sep 23 16:07:14 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterSorting"
"","153","The cart lists the added product with quantity 1 and its price","SauceDemoSuite","Wed Sep 23 16:07:15 UTC 2026","passed","Wed Sep 23 16:07:15 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartShowsAddedProduct"
"","1353","The cart is still populated after logout and a new login","SauceDemoSuite","Wed Sep 23 16:07:12 UTC 2026","passed","Wed Sep 23 16:07:14 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterLogoutAndLogin"
"","386","Overview lists the cart item plus payment and shipping values","SauceDemoSuite","Wed Sep 23 16:07:30 UTC 2026","passed","Wed Sep 23 16:07:30 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testOverviewShowsItemAndDeliveryDetails"
"","217","A locked account shows the locked-out error","SauceDemoSuite","Wed Sep 23 16:07:00 UTC 2026","passed","Wed Sep 23 16:07:01 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLockedOutUser"
"","35","Social links point at Twitter, Facebook, and LinkedIn","SauceDemoSuite","Wed Sep 23 16:07:07 UTC 2026","passed","Wed Sep 23 16:07:07 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSocialLinks"
"","202","Adding a product from its details page updates the cart badge","SauceDemoSuite","Wed Sep 23 16:07:12 UTC 2026","passed","Wed Sep 23 16:07:12 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddToCartFromProductDetails"
