"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","644","Closing the error hides the message and stays on login","SauceDemoSuite","Tue Sep 22 16:21:21 UTC 2026","passed","Tue Sep 22 16:21:22 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testDismissLoginError"
"","235","An empty cart can still open checkout","SauceDemoSuite","Tue Sep 22 16:21:45 UTC 2026","passed","Tue Sep 22 16:21:46 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutFromEmptyCartOpensInformationForm"
"","209","The cart lists the added product with quantity 1 and its price","SauceDemoSuite","Tue Sep 22 16:21:37 UTC 2026","passed","Tue Sep 22 16:21:38 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartShowsAddedProduct"
"","136","Removing a product from the catalog clears the badge","SauceDemoSuite","Tue Sep 22 16:21:38 UTC 2026","passed","Tue Sep 22 16:21:39 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveFromCatalogClearsBadge"
"","298","Name Z to A sorts the catalog descending","SauceDemoSuite","Tue Sep 22 16:21:31 UTC 2026","passed","Tue Sep 22 16:21:31 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByNameDescending"
"","430","A missing last name is reported after the first name is filled","SauceDemoSuite","Tue Sep 22 16:21:47 UTC 2026","passed","Tue Sep 22 16:21:47 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresLastName"
"","555","A postal code made of letters is accepted","SauceDemoSuite","Tue Sep 22 16:21:42 UTC 2026","passed","Tue Sep 22 16:21:42 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testAlphabeticPostalCodeIsAccepted"
"","523","Finish shows the thank-you header","SauceDemoSuite","Tue Sep 22 16:21:52 UTC 2026","passed","Tue Sep 22 16:21:52 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testFinishShowsThankYouHeader"
"","536","An empty cart overview totals to zero before tax","SauceDemoSuite","Tue Sep 22 16:21:50 UTC 2026","passed","Tue Sep 22 16:21:51 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testEmptyCartOverviewSubtotalIsZero"
"","38","The footer shows the Sauce Labs copyright line","SauceDemoSuite","Tue Sep 22 16:21:29 UTC 2026","passed","Tue Sep 22 16:21:29 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testFooterIsDisplayed"
"","309","The cart still holds an item after returning to the catalog","SauceDemoSuite","Tue Sep 22 16:21:37 UTC 2026","passed","Tue Sep 22 16:21:37 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsWhenReturningToProducts"
"","841","Every catalog product can be added and then removed from the cart","SauceDemoSuite","Tue Sep 22 16:21:33 UTC 2026","passed","Tue Sep 22 16:21:34 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddAllThenRemoveAll"
"","210","A wrong username with the valid password is rejected","SauceDemoSuite","Tue Sep 22 16:21:26 UTC 2026","passed","Tue Sep 22 16:21:26 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongUsernameOnly"
"","45","Social links point at Twitter, Facebook, and LinkedIn","SauceDemoSuite","Tue Sep 22 16:21:30 UTC 2026","passed","Tue Sep 22 16:21:30 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSocialLinks"
"","233","Whitespace around the username is not trimmed into a valid login","SauceDemoSuite","Tue Sep 22 16:21:25 UTC 2026","passed","Tue Sep 22 16:21:25 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testUsernameWithSurroundingSpaces"
"","708","A completed order leaves the cart empty","SauceDemoSuite","Tue Sep 22 16:21:45 UTC 2026","passed","Tue Sep 22 16:21:45 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCartIsEmptyAfterCompletedOrder"
"","105","The same product cannot be added a second time while it is in the cart","SauceDemoSuite","Tue Sep 22 16:21:34 UTC 2026","passed","Tue Sep 22 16:21:34 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddButtonTogglesInsteadOfDuplicating"
"","757","All Items keeps the shopper on the catalog","SauceDemoSuite","Tue Sep 22 16:21:27 UTC 2026","passed","Tue Sep 22 16:21:28 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testAllItemsStaysOnInventory"
"","135","Blank username and password report the username first","SauceDemoSuite","Tue Sep 22 16:21:23 UTC 2026","passed","Tue Sep 22 16:21:23 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankUsernameAndPassword"
"","982","Valid customer information opens the overview","SauceDemoSuite","Tue Sep 22 16:21:55 UTC 2026","passed","Tue Sep 22 16:21:56 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testValidInformationOpensOverview"
"","295","A valid username with the wrong password is rejected","SauceDemoSuite","Tue Sep 22 16:21:25 UTC 2026","passed","Tue Sep 22 16:21:26 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongPasswordOnly"
"","96","Add to cart switches the button to Remove and shows a badge of 1","SauceDemoSuite","Tue Sep 22 16:21:35 UTC 2026","passed","Tue Sep 22 16:21:35 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddSingleItemUpdatesBadgeAndButton"
"","6","The catalog lists every standard product","SauceDemoSuite","Tue Sep 22 16:21:30 UTC 2026","passed","Tue Sep 22 16:21:30 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testProductCount"
"","475","Closing a checkout error hides it and stays on the information step","SauceDemoSuite","Tue Sep 22 16:21:49 UTC 2026","passed","Tue Sep 22 16:21:50 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testDismissCheckoutError"
"","664","Back Home from the complete page returns to the catalog","SauceDemoSuite","Tue Sep 22 16:21:42 UTC 2026","passed","Tue Sep 22 16:21:43 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testBackHomeReturnsToProducts"
"","62","Login form shows username, password, and the login button","SauceDemoSuite","Tue Sep 22 16:21:23 UTC 2026","passed","Tue Sep 22 16:21:23 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginFormIsDisplayed"
"","122","Opening a product shows its name, description, and price","SauceDemoSuite","Tue Sep 22 16:21:38 UTC 2026","passed","Tue Sep 22 16:21:38 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testProductDetailsMatchCatalog"
"","255","Removing one of two cart lines leaves the other product","SauceDemoSuite","Tue Sep 22 16:21:39 UTC 2026","passed","Tue Sep 22 16:21:39 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveOneOfMultipleCartItems"
"","935","The cart is still populated after logout and a new login","SauceDemoSuite","Tue Sep 22 16:21:36 UTC 2026","passed","Tue Sep 22 16:21:36 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterLogoutAndLogin"
"","766","Every catalog product can be added and then removed","SauceDemoSuite","Tue Sep 22 16:21:59 UTC 2026","passed","Tue Sep 22 16:22:00 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testAddingAndRemovingProducts"
"","209","Valid credentials land on the inventory page","SauceDemoSuite","Tue Sep 22 16:21:25 UTC 2026","passed","Tue Sep 22 16:21:25 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testValidLogin"
"","211","Removing the only cart line leaves the cart empty","SauceDemoSuite","Tue Sep 22 16:21:39 UTC 2026","passed","Tue Sep 22 16:21:39 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testRemoveItemFromCart"
"","316","A product can be reviewed and added to the cart","SauceDemoSuite","Tue Sep 22 16:21:58 UTC 2026","passed","Tue Sep 22 16:21:58 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testAddToCart"
"","377","A locked account shows the locked-out error","SauceDemoSuite","Tue Sep 22 16:21:22 UTC 2026","passed","Tue Sep 22 16:21:22 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLockedOutUser"
"","304","Cancel on the information step returns to the cart and keeps the item","SauceDemoSuite","Tue Sep 22 16:21:43 UTC 2026","passed","Tue Sep 22 16:21:44 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCancelFromInformationReturnsToCart"
"","288","Price high to low sorts the catalog by descending price","SauceDemoSuite","Tue Sep 22 16:21:31 UTC 2026","passed","Tue Sep 22 16:21:31 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByPriceHighToLow"
"","22","Password characters are masked","SauceDemoSuite","Tue Sep 22 16:21:24 UTC 2026","passed","Tue Sep 22 16:21:24 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testPasswordFieldIsMasked"
"","141","Each catalog card shows a name and a dollar price","SauceDemoSuite","Tue Sep 22 16:21:28 UTC 2026","passed","Tue Sep 22 16:21:28 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testEachProductShowsNameAndPrice"
"","292","Name A to Z sorts the catalog ascending","SauceDemoSuite","Tue Sep 22 16:21:30 UTC 2026","passed","Tue Sep 22 16:21:30 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByNameAscending"
"","149","Continue Shopping from the cart returns to the catalog","SauceDemoSuite","Tue Sep 22 16:21:38 UTC 2026","passed","Tue Sep 22 16:21:38 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testContinueShopping"
"","178","A blank password asks for the password","SauceDemoSuite","Tue Sep 22 16:21:23 UTC 2026","passed","Tue Sep 22 16:21:23 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLoginWithBlankPassword"
"","1015","A missing postal code is reported after the name fields are filled","SauceDemoSuite","Tue Sep 22 16:21:47 UTC 2026","passed","Tue Sep 22 16:21:48 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresPostalCode"
"","1126","Logout returns the user to the login form","SauceDemoSuite","Tue Sep 22 16:21:23 UTC 2026","passed","Tue Sep 22 16:21:24 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testLogoutReturnsToLoginForm"
"","10","Inventory heading is Products","SauceDemoSuite","Tue Sep 22 16:21:30 UTC 2026","passed","Tue Sep 22 16:21:30 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testProductsHeading"
"","150","Inventory cannot be opened without a session","SauceDemoSuite","Tue Sep 22 16:21:22 UTC 2026","passed","Tue Sep 22 16:21:22 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testInventoryRedirectsWhenLoggedOut"
"","153","Back to products returns to the catalog","SauceDemoSuite","Tue Sep 22 16:21:35 UTC 2026","passed","Tue Sep 22 16:21:35 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testBackToProducts"
"","488","Overview lists the cart item plus payment and shipping values","SauceDemoSuite","Tue Sep 22 16:21:53 UTC 2026","passed","Tue Sep 22 16:21:53 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testOverviewShowsItemAndDeliveryDetails"
"","511","Overview subtotal matches the prices of the cart items","SauceDemoSuite","Tue Sep 22 16:21:53 UTC 2026","passed","Tue Sep 22 16:21:54 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testSubtotalMatchesItemPrices"
"","269","Adding a product from its details page updates the cart badge","SauceDemoSuite","Tue Sep 22 16:21:35 UTC 2026","passed","Tue Sep 22 16:21:35 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddToCartFromProductDetails"
"","277","Refreshing the inventory page keeps the logged-in session","SauceDemoSuite","Tue Sep 22 16:21:24 UTC 2026","passed","Tue Sep 22 16:21:25 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testSessionSurvivesRefresh"
"","957","Values already entered stay on the form when a later field is missing","SauceDemoSuite","Tue Sep 22 16:21:51 UTC 2026","passed","Tue Sep 22 16:21:52 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testEnteredValuesStayWhenValidationFails"
"","280","Price low to high sorts the catalog by ascending price","SauceDemoSuite","Tue Sep 22 16:21:31 UTC 2026","passed","Tue Sep 22 16:21:32 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByPriceLowToHigh"
"","287","Changing the catalog sort does not drop items already in the cart","SauceDemoSuite","Tue Sep 22 16:21:37 UTC 2026","passed","Tue Sep 22 16:21:37 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterSorting"
"","1528","The catalog menu, sort order, social links, and footer are available","SauceDemoSuite","Tue Sep 22 16:21:57 UTC 2026","passed","Tue Sep 22 16:21:58 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","checkHomepageContent"
"","20","The cart icon is visible and empty before anything is added","SauceDemoSuite","Tue Sep 22 16:21:28 UTC 2026","passed","Tue Sep 22 16:21:28 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testCartIconStartsEmpty"
"","753","The menu lists All Items, About, Logout, and Reset App State","SauceDemoSuite","Tue Sep 22 16:21:29 UTC 2026","passed","Tue Sep 22 16:21:30 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testMenuItemsArePresentAndEnabled"
